cfdaNumber,estimatedTotalAmt,fundsObligatedAmt,fundProgramName,id,pdPIName,piFirstName,piMiddeInitial,piLastName,poName,date,startDate,expDate,title,coPDPI,piFullName
47.041,500000.0,404095,CCSS-Comms Circuits & Sens Sys,1944828,Zouheir Rezki,Zouheir,[],Rezki,Zhengdao Wang,2020-01-21,2020-03-01,2021-02-28,CAREER: Advancing Space Optical Communication Systems Via Hybrid Model-Based and Learning-Based Frameworks,[],ZOUHEIR REZKI
47.083,152050.0,152050,EPSCoR Research Infrastructure,1929206,Samrat Choudhury,Samrat,[],Choudhury,Subrata Acharya,2019-11-26,2019-12-01,2021-11-30,RII Track-4: Optimizing the Chemistry of Heterointerfaces in Photovoltaics: A Combination of Electronic Structure Calculations and Machine Learning Approach,[],SAMRAT CHOUDHURY
47.070,312016.0,312016,HDR-Harnessing the Data Revolu,1940270,Fuchang Gao,Fuchang,[],Gao,Daryl Hess,2019-09-14,2019-10-01,2022-09-30,Collaborative Research: Integrating Physics and Generative Machine Learning Models for Inverse Materials Design,[],FUCHANG GAO
47.050,108245.0,108245,Sedimentary Geo & Paleobiology,1924856,Leslie L Baker,Leslie,L,Baker,Yurena Yanes,2019-07-09,2019-09-01,2024-08-31,"COLLABORATIVE RESEARCH: TRACKING PCO2, REGIONAL CLIMATE, AND VEGETATION CHANGE DURING MID-MIOCENE GLOBAL WARMING THROUGH THE EXCEPTIONAL PLANT RECORDS OF THE PACIFIC NORTHWEST, USA",[],LESLIE BAKER
47.050,449355.0,449355,NNA-Navigating the New Arctic,1927713,Lilian Alessa,Lilian,[],Alessa,Roberto Delgado,2019-09-11,2019-09-01,2025-08-31,NNA Track 1: Collaborative Research: Resilience and adaptation to the effects of permafrost degradation induced coastal erosion,[],LILIAN ALESSA
47.076,1074990.0,1074990,Alliances-Minority Participat.,1906157,Cumer S Green,Cumer,S,Green,Leroy Jones II,2019-07-24,2019-08-01,2023-06-30,LSAMP BD: University of Idaho - All Nations LSAMP,"['Jerry R McMurtry', 'Yolanda Bisbee']",CUMER GREEN
47.050,348957.0,382753,XC-Crosscutting Activities Pro,1921790,Elowyn Yager,Elowyn,[],Yager,Justin Lawrence,2019-05-14,2019-07-01,2025-06-30,A mechanistic and predictive understanding of temporal variations in the onset of sediment motion,[],ELOWYN YAGER
47.050,729932.0,729932,Tectonics,1848563,Elizabeth J Cassel,Elizabeth,J,Cassel,Colin A. Shaw,2019-02-26,2019-06-01,2025-05-31,CAREER: The Fall of Mountains: Reconstructing Extensional Collapse in the North American Cordillera from the Surface Record,[],ELIZABETH CASSEL
47.074,651698.0,651698,Ecosystem Science,1845417,Michael S Strickland,Michael,S,Strickland,Matthew Kane,2019-02-14,2019-03-01,2024-02-29,CAREER:  Ecosystem Processes in the Age of Antibiotics,[],MICHAEL STRICKLAND
47.070,122506.0,122506,Data Cyberinfrastructure,1835893,Luke Harmon,Luke,[],Harmon,Varun Chandola,2018-09-06,2019-01-01,2023-12-31,Collaborative Research: Framework: Software: HDR: Reproducible Visual Analysis of Multivariate Networks with MultiNet,[],LUKE HARMON
47.070,596975.0,620375,XC-Crosscutting Activities Pro,1835717,Xiaogang Ma,Xiaogang,[],Ma,Sheikh Ghafoor,2018-09-06,2018-12-01,2023-11-30,Elements: Software: HDR: A knowledge base of deep time to facilitate automated workflows in studying the co-evolution of the geosphere and biosphere,[],XIAOGANG MA
47.083,20000000.0,20000000,EPSCoR RII Track-1,1757324,Andrew D Kliskey,Andrew,D,Kliskey,J.D. Swanson,2018-09-14,2018-10-01,2024-03-31,RII Track-1: Linking Genome to Phenome to Predict Adaptive Responses of Organisms to Changing Landscapes,"['Colden V Baxter', 'Jennifer Forbey', 'Christopher C Caudill']",ANDREW KLISKEY
47.074,1777713.0,1777713,Dimensions of Biodiversity,1831838,Christopher J Marx,Christopher,J,Marx,Kendra McLauchlan,2018-08-10,2018-10-01,2024-09-30,"Dimensions:  The roles of phylogeny, genome content, and functional performance traits in the evolution and assembly of a diverse Methylobacterium community","['Norma C Martinez-Gomez', 'Jack M Sullivan', 'James A Foster']",CHRISTOPHER MARX
47.083,215522.0,215522,EPSCoR Research Infrastructure,1832888,Michael S Strickland,Michael,S,Strickland,Subrata Acharya,2018-08-20,2018-10-01,2021-09-30,RII Track-4: A Multi-omic Approach Towards an Understanding of the Environmental Implications of Antibiotics on Soil Processes,[],MICHAEL STRICKLAND
47.070,250000.0,250000,Software & Hardware Foundation,1816542,Ata Zadehgol,Ata,[],Zadehgol,Sankar Basu,2018-06-22,2018-10-01,2022-09-30,"SHF: SMALL: A Novel Algorithm for Automated Synthesis of Passive, Causal, and Stable Models for Optical Interconnects",[],ATA ZADEHGOL
47.041,331379.0,331379,EnvE-Environmental Engineering,1805358,James Moberly,James,[],Moberly,Karl Rockne,2018-08-13,2018-09-01,2023-08-31,Building Better Bio-Beads: Engineering Modulation of pH and Metabolite Diffusive Flux in Hydrogels,['Kristopher V Waynant'],JAMES MOBERLY
47.074,64476.0,64476,Info Integration & Informatics,1917476,Michelle K McGuire,Michelle,K,McGuire,Joanna Shisler,2019-03-18,2018-09-01,2019-09-30,"INSPIRE Track 1: What is Normal Milk? Sociocultural, Evolutionary, Environmental, and Microbial Aspects of Human Milk Composition",[],MICHELLE MCGUIRE
47.076,46000.0,828000,Graduate Research Fellowship,1842399,Jerry R McMurtry,Jerry,R,McMurtry,Jong-on Hahm,2018-07-19,2018-08-01,2023-07-31,Graduate Research Fellowship Program (GRFP),[],JERRY MCMURTRY
47.050,54545.0,54545,Paleoclimate,1805276,Grant Harley,Grant,[],Harley,David Verardo,2018-07-31,2018-08-01,2022-07-31,Collaborative Research: P2C2--Paleo-Perspectives of Streamflow Variability for Southeastern Interstate Rivers,[],GRANT HARLEY
47.074,478053.0,478053,Genetic Mechanisms,1818368,Paul A Rowley,Paul,A,Rowley,Clifford Weil,2018-07-30,2018-08-01,2023-07-31,Collaborative Research: Eukaryotic virus-host interaction and evolution in Saccharomyces yeasts,[],PAUL ROWLEY
47.074,203667.0,203667,EVOLUTIONARY ECOLOGY,1754816,Paul A Hohenlohe,Paul,A,Hohenlohe,Samuel Scheiner,2018-07-06,2018-08-01,2023-07-31,Collaborative Research: Testing Mechanisms of Microgeographic Adaptation,[],PAUL HOHENLOHE
47.076,869744.0,869744,ITEST-Inov Tech Exp Stu & Teac,1759407,Anne L Kern,Anne,L,Kern,Robert Russell,2018-03-16,2018-05-01,2022-04-30,"Collaborative Research: Voices to Hear (V2H): Native American Youth Learning About Environmental Sciences, Related Careers and Engaging Their Communities through Podcasts",['Chris Meyer'],ANNE KERN
47.050,599643.0,599643,Marine Geology and Geophysics,1753354,Eric L Mittelstaedt,Eric,L,Mittelstaedt,Gail Christeson,2018-04-23,2018-05-01,2025-04-30,"CAREER: Moving into the 3rd Dimension: Quantifying the influence of Magmatism, Tectonics, Hydrothermal Cooling, and Hotspots on the Dynamic Evolution of Divergent Plate Boundaries",[],ERIC MITTELSTAEDT
47.074,363930.0,363930,RSCH EXPER FOR UNDERGRAD SITES,1757826,David C Pfeiffer,David,C,Pfeiffer,Sally O'Connor,2018-02-23,2018-03-01,2022-02-28,REU Site: Molecular and Organismal Evolution at the University of Idaho,['Douglas G Cole'],DAVID PFEIFFER
47.050,203592.0,203592,ANS-Arctic Natural Sciences,1737413,Timothy E Link,Timothy,E,Link,Marc Stieglitz,2017-07-25,2018-01-01,2021-12-31,Collaborative Research: Regional  impacts of increasing fire frequency on carbon dynamics and  species composition in the boreal forest,[],TIMOTHY LINK
47.070,10250.0,10250,Info Integration & Informatics,1815526,Xiaogang Ma,Xiaogang,[],Ma,Maria Zemankova,2017-11-29,2017-12-01,2019-11-30,Student Support for the 2018 U.S. Semantic Technologies Symposium (US2TS),['Pascal Hitzler'],XIAOGANG MA
47.074,175454.0,175454,ECOSYSTEM STUDIES,1809144,Michael S Strickland,Michael,S,Strickland,Matthew Kane,2017-11-07,2017-10-01,2021-05-31,Collaborative Research: Volatile organic compounds released during litter decomposition and their relevance to soil ecology,[],MICHAEL STRICKLAND
47.049,23391.0,23391,MATHEMATICAL BIOLOGY,1714353,Sanford D Eigenbrode,Sanford,D,Eigenbrode,Junping Wang,2017-07-18,2017-09-01,2020-08-31,Collaborative Research: Modeling and Inference for Spatiotemporal Climate Impacts on Complex Ecosystems,[],SANFORD EIGENBRODE
47.083,6000000.0,6000000,EPSCoR Research Infrastructure,1736253,Frederick M Ytreberg,Frederick,M,Ytreberg,Subrata Acharya,2017-08-01,2017-08-01,2021-07-31,RII Track-2 FEC: Using Biophysical Protein Models to Map Genetic Variation to Phenotypes,"['Brandon Ogbunugafor', 'Craig Miller', 'Daniel M Weinreich', 'Brent L Lockwood']",FREDERICK YTREBERG
47.074,194238.0,263834,ECOSYSTEM STUDIES,1655183,Tara Hudiburg,Tara,[],Hudiburg,Reed Beaman,2017-07-05,2017-08-01,2022-07-31,Collaborative Research: Causes and consequences of fire-regime variability in Rocky Mountain forests,[],TARA HUDIBURG
47.050,140234.0,140234,ANS-Arctic Natural Sciences,1716865,Timothy C Bartholomaus,Timothy,C,Bartholomaus,Marc Stieglitz,2017-07-26,2017-08-01,2021-07-31,Collaborative Research:  What Controls Calving? A Greenland-wide Test of Terminus Change Mechanisms,[],TIMOTHY BARTHOLOMAUS
47.074,699389.0,699389,EVOLUTIONARY GENETICS,1655809,Paul A Hohenlohe,Paul,A,Hohenlohe,Leslie J. Rissler,2017-07-05,2017-08-01,2022-07-31,Using experimental population genomics to test hypotheses and develop novel analytical tools,['Erkan O Buzbas'],PAUL HOHENLOHE
47.041,350343.0,423721,EnvE-Environmental Engineering,1705728,Erik R Coats,Erik,R,Coats,Mamadou Diallo,2017-06-23,2017-07-01,2022-06-30,GOALI: WERF: WRF: Mainstream Nitritation and Polyhydroxybutyrate-co-valerate Synthesis in a Next-generation Water Resource Recovery Facility (WRRF),"['Art K Umble', 'Les MacDonald']",ERIK COATS
47.074,409998.0,409998,GoLife,1638567,Deborah L Stenkamp,Deborah,L,Stenkamp,Christopher Balakrishnan,2016-09-01,2016-10-01,2022-09-30,Collaborative Research: Diversification of sensory systems in novel habitat: enhanced vision of compensation in other modalities?,[],DEBORAH STENKAMP
47.050,558035.0,616351,Hydrologic Sciences,1559348,Daniele Tonina,Daniele,[],Tonina,Hendratta Ali,2016-04-27,2016-09-01,2025-08-31,The role of in-channel aquatic vegetation on hyporheic exchange,['Ralph S Budwig'],DANIELE TONINA
47.075,2698207.0,2698207,Track 3 INFEWS,1639524,Lilian Alessa,Lilian,[],Alessa,Robert O'Connor,2016-09-06,2016-09-01,2021-06-30,"INFEWS/T3: Social-ecological-technological solutions to waste reuse in food, energy, and water systems (ReFEWS)","['Richard Lammers', 'Andrew D Kliskey']",LILIAN ALESSA
47.075,350006.0,350006,Geography and Spatial Sciences,1636533,Teresa Cavazos Cohn,Teresa,[],Cavazos Cohn,Tom Evans,2016-08-15,2016-09-01,2022-02-28,Understanding Conceptions of Space and Time in Tribal Water Quality Governance,"['Kate A Berry', 'Kyle Whyte']",TERESA CAVAZOS COHN
47.076,2999640.0,2999640,ITEST-Inov Tech Exp Stu & Teac,1621438,Robert Ely,Robert,[],Ely,Michael Steele,2016-08-22,2016-09-01,2022-08-31,Longitudinal Learning of Viable Argument in Mathematics for Adolescents,"['Anne Adams', 'Xin Wang', 'Chandra K Lewis']",ROBERT ELY
"47.050, 47.078",499090.0,499090,AON-Arctic Observing Network,1642847,Lilian Alessa,Lilian,[],Alessa,Roberto Delgado,2016-08-22,2016-09-01,2022-08-31,RCN: EyesNorth - A Research Coordination Network of Community-Based Observing Initiatives in the Arctic and Beyond,"['Peter L Pulsifer', 'Sandra M Starkweather', 'David L Griffith']",LILIAN ALESSA
47.049,157000.0,157000,APPLIED MATHEMATICS,1616904,Linh V Nguyen,Linh,V,Nguyen,Pedro Embid,2016-08-15,2016-09-01,2021-08-31,Mathematics of Tomography,[],LINH NGUYEN
47.050,430082.0,430082,Tectonics,1550134,Elizabeth J Cassel,Elizabeth,J,Cassel,Audrey Huerta,2016-03-15,2016-06-01,2021-05-31,Collaborative Research: Quantifying Paleotopography and Paleoclimate to Test Geodynamic Models in the Peruvian Andes,[],ELIZABETH CASSEL
47.074,653194.0,667129,ECOSYSTEM STUDIES,1553049,Tara Hudiburg,Tara,[],Hudiburg,Matthew Kane,2016-01-29,2016-04-01,2021-12-31,CAREER: Forest-atmosphere interactions in an era of fire and drought,[],TARA HUDIBURG
"47.049, 47.050",2775000.0,2775000,Structural and Architectural E,1520873,Alistair M Smith,Crystal,M,Kolden,Junping Wang,2015-07-27,2015-10-01,2021-09-30,Hazards SEES: Advancing Resilience to Compounding Disasters: An Integrated Natural-Human Systems Assessment of Wildfire Vulnerability,"['John Abatzoglou', 'Jeffrey A Hicke', 'Lilian Alessa', 'Jennifer Adam']",CRYSTAL KOLDEN
47.079,245305.0,245305,IRES Track I: IRES Sites (IS),1460079,Lisette P Waits,Lisette,P,Waits,Kleanthis Psarris,2015-09-03,2015-09-01,2021-08-31,"IRES: An International, Interdisciplinary Student Research Program in a Biological Hotspot of Southern Ecuador","['David Roon', 'Frank Wilhelm', 'Nilsa A Bosque-Perez']",LISETTE WAITS
47.041,200000.0,212000,Interfacial Engineering Progra,1500815,Soumya K Srivastava,Soumya,K,Srivastava,Christina Payne,2015-08-30,2015-09-01,2019-08-31,EAGER: Rapid Screening and Identification of Organisms which Hyper-Accumulate Metals,['James Moberly'],SOUMYA SRIVASTAVA
47.041,1084787.0,1288496,Major Research Instrumentation,1532239,Joel Perry,Joel,[],Perry,Alex Leonessa,2015-08-23,2015-09-01,2023-08-31,"MRI: Development of an exoskeleton for simultaneous assessment of brain, muscular, and nervous system output during functional arm and hand tasks",['Eric T Wolbrecht'],JOEL PERRY
47.041,225000.0,411964,IUCRC-Indust-Univ Coop Res Ctr,1540045,Mark Coleman,Mark,[],Coleman,Prakash Balan,2015-08-03,2015-08-01,2021-01-31,I/UCRC Phase II:  University of Idaho Membership in Center for Advanced Forestry Systems,['Andrew S Nelson'],MARK COLEMAN
47.050,219987.0,219987,Geophysics,1520856,Eric L Mittelstaedt,Eric,L,Mittelstaedt,Robin Reichlin,2015-06-23,2015-07-01,2019-06-30,Variations in Hotspot Volcanism as a Key to Understanding Deep Mantle Dynamics,[],ERIC MITTELSTAEDT
47.076,634936.0,634936,S-STEM-Schlr Sci Tech Eng&Math,1458685,Brian K Johnson,Brian,K,Johnson,Bonnie Green,2015-05-22,2015-06-01,2021-05-31,Career Launch in Engineering Scholarship Program (Career Launch),"['Michael Lowry', 'Mark F Roll', 'Michael Maughan']",BRIAN JOHNSON
47.050,225924.0,225924,GeoPRISMS,1456664,Eric L Mittelstaedt,Eric,L,Mittelstaedt,Jennifer Wade,2015-03-03,2015-05-01,2019-01-31,Emplacement of regularly spaced volcanic centers in the East African Rift: Melt production or melt extraction?,[],ERIC MITTELSTAEDT
47.074,251014.0,251014,EVOLUTIONARY ECOLOGY,1450653,Scott L Nuismer,Scott,L,Nuismer,Samuel Scheiner,2015-04-01,2015-04-01,2020-05-31,A Bayesian Approach to Inferring the Strength of Coevolution,[],SCOTT NUISMER
47.050,86675.0,86675,Sedimentary Geo & Paleobiology,1349560,Judith T Parrish,Judith,T,Parrish,Dena Smith-Nufio,2015-01-20,2015-02-01,2019-01-31,"Collaborative Research: Unlocking secrets of Earth's largest sand sea: Paleoenvironmental records of the Lower Jurassic Navajo Sandstone, Colorado Plateau, USA",[],JUDITH PARRISH
47.076,597487.0,1257442,AGEP,1432910,Jerry R McMurtry,Jie,R,Chen,Keri Ann Sather-Wagstaff,2014-08-23,2014-10-01,2025-09-30,"Collaborative Research: The Pacific Northwest Alliance to Develop, Implement and Study a STEM Graduate Education Model for American Indians and Native Alaskans",[],JIE CHEN
47.050,94118.0,94118,Hydrologic Sciences,1417592,Daniele Tonina,Daniele,[],Tonina,Ingrid Padilla,2014-08-05,2014-08-01,2019-07-31,Collaborative Research:   How do hydrology and biogeochemistry control  carbon flux from headwater streams to the atmosphere?,[],DANIELE TONINA
47.050,890877.0,890877,Paleoclimate,1401826,Vladimir B Aizen,Vladimir,B,Aizen,David Verardo,2014-06-12,2014-06-01,2019-05-31,Collaborative Research:  P2C2--Pleistocene/Holocene Climate Reconstruction from a Pamir High Resolution Deep Ice-Core,['Elena M Aizen'],VLADIMIR AIZEN
47.076,3099997.0,3099997,IGERT FULL PROPOSALS,1249400,Timothy E Link,Timothy,E,Link,John Weishampel,2013-08-21,2013-09-01,2019-08-31,"IGERT: Adaptation to Change in Water Resources: Science to Inform Decision-making Across Disciplines, Cultures and Scales","['Barbara Cosens', 'Brian P Kennedy', 'Manoj K Shrestha']",TIMOTHY LINK
47.074,113945.0,113945,ECOSYSTEM STUDIES,1251441,Kurt Pregitzer,Kurt,[],Pregitzer,Matthew Kane,2013-08-30,2013-09-01,2019-08-31,Collaborative LTREB Renewal: Long-Term Ecosystem Response to Chronic Atmospheric Nitrate Deposition,[],KURT PREGITZER
47.050,123383.0,194362,Marine Geology and Geophysics,1260578,Eric L Mittelstaedt,Eric,L,Mittelstaedt,Candace Major,2013-06-12,2013-07-01,2019-06-30,"Collaborative Research:  Coupling Mantle Volatiles, Eruption Dynamics, and Tectonics on the Mid-Atlantic Ridge",[],ERIC MITTELSTAEDT
47.074,799959.0,806976,PHYLOGENETIC SYSTEMATICS,1253463,David C Tank,David,C,Tank,Katharina Dittmar,2013-02-05,2013-05-01,2020-04-30,CAREER:   Correlates of diversification and the investigation of the accumulation of evidence for speciation: phylogeny and systematics of a rapid and recent radiation,[],DAVID TANK
47.074,2299244.0,2860659,GoLife,1208912,Luke Harmon,Luke,[],Harmon,Simon Malcomber,2012-05-07,2012-05-01,2019-04-30,Collaborative Research:   Arbor:   Comparative Analysis Workflows for the Tree of Life,"['Charles E Hughes', 'Jeffrey Baumes']",LUKE HARMON
"47.041, 47.083",500000.0,748578,IUCRC-Indust-Univ Coop Res Ctr,1916699,Andrew S Nelson,Mark,S,Coleman,Prakash Balan,2019-12-26,2019-12-15,2025-11-30,Phase III IUCRC at University of Idaho: Center for Advanced Forestry Systems,['Mark J Kimsey'],MARK COLEMAN
"47.074, 47.083",18950955.0,18950955,Mid-scale RI - Track 1,2131837,Michael S Strickland,Michael,S,Strickland,Jennifer Weller,2021-09-20,2021-10-15,2026-09-30,Mid-scale RI-1 (M1:IP): A Deep Soil Ecotron facility to explore belowground communities and ecosystem processes,"['Susan E Crow', 'Rodrigo Vargas', 'Zachary Kayler', 'Caley K Gasch']",MICHAEL STRICKLAND
47.083,4546903.0,4546903,GRANTED,2427549,Sarah S Martonick,Sarah,S,Martonick,Dina Stroud,2024-09-10,2024-09-15,2029-08-31,Crossing the Innovation Valley of Death: Democratizing Data and Artificial Intelligence for Research Administration,"['Lucas J Sheneman', 'Barrie Robison', 'Sylvia Bradshaw']",SARAH MARTONICK
47.083,1005042.0,514516,EPSCoR RII Track-2 FEC,2418356,Armando G McDonald,Armando,G,McDonald,Jose Colom,2024-07-22,2024-09-15,2028-08-31,"Collaborative Research: RII FEC: Transforming wastes Into Economic Assets for Sustainability, Resilience, and Prosperity by a Novel Negative Emission Technology",[],ARMANDO MCDONALD
47.076,3695360.0,3695360,CYBERCORPS: SCHLAR FOR SER,1565572,Daniel Conte de Leon,Daniel,[],Conte de Leon,Li Yang,2016-09-16,2016-09-15,2023-08-31,Renewal: University of Idaho Scholarship for Servi,"['Jia Song', 'Michael Haney', 'Jim Alves-Foss']",DANIEL CONTE DE LEON
"47.049, 47.070, 47.076",299838.0,299838,"Chem Thry, Mdls & Cmptnl Mthds",2410668,Hasan M Jamil,Hasan,M,Jamil,Daniel F. Massey,2024-09-09,2024-09-15,2027-08-31,Collaborative Research: Elements: Autonomous Molecular Design Cyberinfrastructure Development for Quantum Computation,[],HASAN JAMIL
47.076,227519.0,227519,ECR:BCSER Capcity STEM Ed Rscr,2121898,Karla Eitel,Karla,[],Eitel,Andrea Nixon,2021-09-07,2021-09-15,2025-08-31,MCA: Partnering Land and communities for equitable and inclusive STEM learning,[],KARLA EITEL
