cfdaNumber,estimatedTotalAmt,fundsObligatedAmt,fundProgramName,id,pdPIName,piFirstName,piMiddeInitial,piLastName,poName,date,startDate,expDate,title,coPDPI,piFullName
47.076,4460195.0,2591058,CYBERCORPS: SCHLAR FOR SER,2146269,Jim Alves-Foss,Jim,[],Alves-Foss,Li Yang,2022-05-11,2022-05-15,2027-04-30,CyberCorps Scholarship for Service (Renewal): Preparing an Adaptable Cyber Security Workforce,['Jia Song'],JIM ALVES-FOSS
47.049,118517.0,112739,"AMO Experiment/Atomic, Molecul",2227079,Zachariah B Etienne,Zachariah,B,Etienne,Pedro Marronetti,2022-05-03,2022-05-15,2025-05-31,Collaborative Research: Measuring G with a Magneto-Gravitational Trap,[],ZACHARIAH ETIENNE
47.076,1368804.0,1143852,Discovery Research K-12,2006353,Julie M Amador,Julie,M,Amador,Jennifer Noll,2020-05-14,2020-05-15,2025-04-30,Collaborative Research: Synchronous Online Video-Based Development for Rural Mathematics Coaches,[],JULIE AMADOR
47.074,622609.0,622609,Biodiversity: Discov &Analysis,1457726,Jack M Sullivan,Jack,M,Sullivan,Katharina Dittmar,2015-03-23,2015-05-15,2020-10-31,Collaborative Research: A Comparative Phylogeographic Approach to Predicting Cryptic Diversity - The Inland Temperate Rainforest as a Model System,['David C Tank'],JACK SULLIVAN
47.074,1110980.0,1114104,Physiol Mechs & Biomechanics,1553550,Craig McGowan,Craig,[],McGowan,Kathryn Dickson,2016-04-12,2016-05-15,2021-06-30,CAREER: Establishing Links between Musculoskeletal Morphology and the Biomechanics of Bipedal Hopping in Desert Environments,[],CRAIG MCGOWAN
47.078,26757.0,26757,ASSP-Arctic Social Science,2013929,John W Anderson,John,W,Anderson,Erica Hill,2020-03-25,2020-04-15,2023-03-31,"WOWCLAN People: Workshop on Water, Culture, Language, and Native People in the Arctic",[],JOHN ANDERSON
47.074,56420.0,56420,COVID-19 Research,2028162,Scott L Nuismer,Scott,L,Nuismer,Samuel Scheiner,2020-04-22,2020-04-15,2021-12-31,EAGER: Evaluating the feasibility of a transmissible vaccine within bat populations.,"['James J Bull', 'Christopher H Remien']",SCOTT NUISMER
47.079,749755.0,749755,EPSCoR Research Infrastructure,1348410,Marcos E Galindo,Marcos,E,Galindo,Chinonye Nnakwe,2014-03-13,2014-03-15,2019-02-28,Indigenous Program for Stem Research and a Regional Native Network of Graduate Education: A National Research and Educational Model,"['Brant G Miller', 'Ronald W Hardy']",MARCOS GALINDO
47.076,1101523.0,1101523,ITEST-Inov Tech Exp Stu & Teac,1513349,Karla Eitel,Karla,[],Eitel,Robert Russell,2016-01-28,2016-02-15,2021-01-31,Building STEM Identity and Career Interests in Native American Students By Using Unmanned Aerial Vehicle (UAV) and Remote Sensing Technologies,"['Jan U Eitel', 'Lee Vierling', 'Teresa Cavazos Cohn']",KARLA EITEL
47.074,1016312.0,726485,Cross-BIO Activities,2144339,Chris A Hamilton,Chris,A,Hamilton,Matthew Fujita,2022-01-10,2022-01-15,2027-09-30,CAREER: Integrating Western Science and Traditional Ecological Knowledge (TEK) to Understand Aphonopelma Diversity Across the Madrean Sky Islands and Educate K-12 Tribal Students,[],CHRIS HAMILTON
